CTID,OwnerCTID,PublisherCTID
ce-00178400-6e5f-4f81-ba33-a7f908aeef3f,ce-9fe93f5f-e0cf-40b2-9194-2ed178e115bb,ce-9fe93f5f-e0cf-40b2-9194-2ed178e115bb
ce-001f7692-8ccd-4b61-8fc4-c6a551099962,ce-cfbf58db-5e03-48c4-910f-df59057553e9,ce-cfbf58db-5e03-48c4-910f-df59057553e9
ce-003d1e58-18c8-40b6-b651-7ed96775d5f0,ce-003d1e58-18c8-40b6-b651-7ed96775d5f0,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0047a677-5112-4646-99fb-4ee2fff34a2b,ce-5166689c-0b40-454c-950a-2a7ba1a95108,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-00745951-51a2-4c61-827c-710ad7a2ddbb,ce-8abb336a-c035-4294-b6b8-c078ceeee7be,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-007ada6b-e6af-4c83-8814-b256cbe61da6,ce-4e1d2e74-ce38-4366-bc19-c0aea426b68f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-007df674-126f-4c2d-a21c-c51b95b0155a,ce-1fae1377-5f42-4bd9-ad6c-72f0bdd1401e,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0084f439-f103-4395-b6f4-a36f5bcedfea,ce-71cd8489-246a-492b-a374-6ea5ff905579,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-00933263-648a-4c0c-9cd8-7e2617b9dbb0,ce-6765e17b-6c18-49ff-af7a-6e14b85ef2c9,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-009ef208-d19c-4684-9cd9-bce5df29c715,ce-36adee66-17a0-41f6-b862-d0d49c1a595c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-00a1151a-309f-427a-825d-29dafc3562f0,ce-886e0dba-db0a-40f9-9067-1b282853d3fd,ce-886e0dba-db0a-40f9-9067-1b282853d3fd
ce-00a4d974-0179-49c7-a73a-5a68826f9aba,ce-9fe93f5f-e0cf-40b2-9194-2ed178e115bb,ce-9fe93f5f-e0cf-40b2-9194-2ed178e115bb
ce-00a616e9-38bb-4847-a6da-c7f9c17617ce,ce-160a75db-a039-4bf7-b4c8-479dcf243561,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-00a683c7-8b13-45ab-a8a6-6340f233a7ce,ce-644275b9-0d5b-4088-a46a-88ec3c7328e5,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-00c62f17-101c-4847-a442-abe1d458c21e,ce-6be1eaf2-964f-48bd-89e4-da1b9abc000f,ce-6be1eaf2-964f-48bd-89e4-da1b9abc000f
ce-00c9246a-f685-442c-a99c-752ce40d8ff3,ce-8ddbf031-bad6-4b19-b726-066d5f71ad01,ce-8ddbf031-bad6-4b19-b726-066d5f71ad01
ce-00cb3639-cc3f-4e07-8ff9-89261ebcb183,ce-160a75db-a039-4bf7-b4c8-479dcf243561,ce-160a75db-a039-4bf7-b4c8-479dcf243561
ce-00d766ad-a5d8-4120-9527-e1ecdf6a84e6,ce-644275b9-0d5b-4088-a46a-88ec3c7328e5,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-00fdd95b-b7eb-4bd5-8677-cc049b3aafc4,ce-71cd8489-246a-492b-a374-6ea5ff905579,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-010fd380-cc8f-4c7d-b767-245a6c0f7d5f,ce-10309570-b982-44b5-8949-e2f1e2de7ee1,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-013a48ca-3035-4f50-b9c6-b08eaefb5018,ce-5166689c-0b40-454c-950a-2a7ba1a95108,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0155bbf2-5644-4c68-b5d2-285fbc6a29bd,ce-9fe93f5f-e0cf-40b2-9194-2ed178e115bb,ce-9fe93f5f-e0cf-40b2-9194-2ed178e115bb
ce-01600001-6188-4554-8415-183c771d8b11,ce-10309570-b982-44b5-8949-e2f1e2de7ee1,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-017b734b-a906-4245-849d-1a6b5ceb07a7,ce-b692697b-8175-480e-b9a3-9c383c2d2ef2,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-017f6857-d95b-48c5-9051-605198f32bf4,ce-9fe93f5f-e0cf-40b2-9194-2ed178e115bb,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-01835a67-09ca-419e-aa70-800691f10228,ce-426b285f-0c08-4c56-b669-03d22a79d550,ce-426b285f-0c08-4c56-b669-03d22a79d550
ce-01857be9-f085-404c-9614-a8dbead4436f,ce-36adee66-17a0-41f6-b862-d0d49c1a595c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
